Nr,Pin Name,1 IN,1 OUT,2 IN,2 OUT,3 IN,3 OUT,4 IN,4 OUT,5 IN,5 OUT,6 IN,6 OUT,7 IN,7 OUT,Other,F1L 48,F1L 64,F1L 80,F1L 100,F1L 144,F1L 176,F1M 100,F1M 144,F1M 176,F1M 233,F1H 176,F1H 233,F1H 272,
44,P0_4,RLIN31RX_INTP11,CAN2TX,INTP11,PWGA10O,CSIH1SI,SELDP0,DPIN8,,,,,,,,,,,11,11,18,23,11,18,23,K3,23,K3,N1,
44,P0_4,RLIN31RX_INTP11,CAN2TX,INTP11,PWGA10O,,SELDP0,DPIN8,,,,,,,,,,9,,,,,,,,,,,,
45,P0_5,CAN2RX_INTP2,RLIN31TX,DPIN9,SELDP1,,CSIH1SO,,,,,,,,,,,,12,12,19,24,12,19,24,K2,24,K2,N2,
45,P0_5,CAN2RX_INTP2,RLIN31TX,DPIN9,SELDP1,,,,,,,,,,,,,10,,,,,,,,,,,,
46,P0_6,INTP2,,DPIN10,SELDP2,CSIH1SC,CSIH1SC,,,,PWGA35O,,,,,,,,,,,,,,25,L3,25,L3,M3,
46,P0_6,INTP2,,DPIN10,SELDP2,CSIH1SC,CSIH1SC,,,,,,,,,,,,13,13,20,25,13,20,,,,,,
46,P0_6,INTP2,,DPIN10,SELDP2,,,,,,,,,,,,,11,,,,,,,,,,,,
47,P0_7,RLIN21RX,,DPIN5,CSCXFOUT,CSIH1RYI,CSIH1RYO,TAUB0I0,TAUB0O0,CAN3RX_INTP3,,,,,,,,,,40,58,70,40,58,70,P11,70,P11,U11,
47,P0_7,RLIN21RX,,DPIN5,CSCXFOUT,CSIH1RYI,CSIH1RYO,,,,,,,,,,,,34,,,,,,,,,,,
48,P0_8,,RLIN21TX,DPIN6,CSIH0CSS6,_CSIH1SSI,,TAUB0I2,TAUB0O2,,CAN3TX,,,,,,,,,,,,,,69,T12,69,T12,V10,
48,P0_8,,RLIN21TX,DPIN6,,_CSIH1SSI,,TAUB0I2,TAUB0O2,,CAN3TX,,,,,,,,,39,57,69,39,57,,,,,,
48,P0_8,,RLIN21TX,DPIN6,,_CSIH1SSI,,,,,,,,,,,,,33,,,,,,,,,,,
49,P0_9,INTP12,CSIH1CSS0,DPIN7,,RLIN22RX,,TAUB0I4,TAUB0O4,CAN4RX_INTP4,,,,,,,,,,38,56,68,38,56,68,R10,68,R10,U10,
49,P0_9,INTP12,CSIH1CSS0,DPIN7,,,,,,,,,,,,,,,32,,,,,,,,,,,
50,P0_10,INTP3,CSIH1CSS1,DPIN11,,,RLIN22TX,TAUB0I6,TAUB0O6,,CAN4TX,,,,,,,,,37,55,67,37,55,67,T11,67,T11,Y12,
50,P0_10,INTP3,CSIH1CSS1,DPIN11,,,,,,,,,,,,,,,31,,,,,,,,,,,
51,P0_11,RIIC0SDA,RIIC0SDA,DPIN12,CSIH1CSS2,TAUB0I8,TAUB0O8,RLIN26RX,PWGA34O,,,,,,,,,,,,,,,,26,L1,26,L1,P1,
51,P0_11,RIIC0SDA,RIIC0SDA,DPIN12,CSIH1CSS2,TAUB0I8,TAUB0O8,RLIN26RX,,,,,,,,,,,,,,26,,,,,,,,
51,P0_11,RIIC0SDA,RIIC0SDA,DPIN12,CSIH1CSS2,TAUB0I8,TAUB0O8,,,,,,,,,,,,,14,21,,11,21,,,,,,
51,P0_11,RIIC0SDA,RIIC0SDA,,CSIH1CSS2,,,,,,,,,,,,,,14,,,,,,,,,,,
52,P0_12,RIIC0SCL,RIIC0SCL,DPIN13,PWGA45O,TAUB0I10,TAUB0O10,CSIG0SI,RLIN26TX,,,,,,,,,,,,,27,,,27,L2,27,L2,P2,
52,P0_12,RIIC0SCL,RIIC0SCL,DPIN13,PWGA45O,TAUB0I10,TAUB0O10,CSIG0SI,,,,,,,,,,,,15,22,,15,22,,,,,,
52,P0_12,RIIC0SCL,RIIC0SCL,,,,,,,,,,,,,,,,15,,,,,,,,,,,
53,P0_13,RLIN32RX_INTP12,,INTP12,PWGA46O,TAUB0I12,TAUB0O12,,CSIG0SO,CAN5RX_INTP5,,,,,,,,,,16,23,28,16,23,28,M1,28,M1,R1,
54,P0_14,,RLIN32TX,,PWGA47O,TAUB0I14,TAUB0O14,CSIG0SC,CSIG0SC,,CAN5TX,,,,,,,,,17,24,29,17,24,29,L4,29,L4,P3,
55,P1_0,RLIN33RX_INTP13,,INTP13,,,,,,,,,,,,,,,,,25,30,,25,30,M2,30,M2,T1,
56,P1_1,,RLIN33TX,,,,,,,,,,,,,,,,,,26,31,,26,31,N2,31,N2,R2,
57,P1_2,CAN3RX_INTP3,,INTP3,,,,,,,,,,,,,,,,,27,32,,27,32,N1,32,N1,U1,
58,P1_3,,CAN3TX,DPIN23,,,,,,,,,,,,,,,,,28,33,,28,33,N3,33,N3,R4,
59,P1_4,RLIN35RX_INTP15,,INTP15,,,,,,,,,,,,,,,,,63,75,,63,75,R12,75,R12,U12,
60,P1_5,ADCA1TRG0,RLIN35TX,DPIN17,,,,,,,,,,,,,,,,,62,74,,62,74,U13,74,U13,Y13,
61,P1_6,RLIN25RX,,DPIN18,,,,,,,,,,,,,,,,,61,73,,61,73,R11,73,R11,V11,
62,P1_7,ADCA1TRG1,RLIN25TX,DPIN19,,,,,,,,,,,,,,,,,60,72,,60,72,U12,72,U12,W12,
63,P1_8,RLIN34RX_INTP14,,INTP14,,,,,,,,,,,,,,,,,43,53,,43,53,R6,53,R6,W6,
64,P1_9,,RLIN34TX,DPIN20,,,,,,,,,,,,,,,,,42,52,,42,52,R7,52,R7,U6,
65,P1_10,RLIN24RX,,DPIN21,,,,,,,,,,,,,,,,,41,51,,41,51,U5,51,U5,Y5,
66,P1_11,ADCA1TRG2,RLIN24TX,DPIN22,,,,,,,,,,,,,,,,,40,50,,40,50,P6,50,P6,V6,
67,P1_12,CAN4RX_INTP4,,INTP4,,,,,,,,,,,,,,,,,,34,,,34,P1,34,P1,T2,
68,P1_13,,CAN4TX,,,,,,,,,,,,,,,,,,,35,,,35,P2,35,P2,V1,
69,P1_14,RLIN23RX,,INTP9_CAN7RX,,,,,,,,,,,,,,,,,,,,,,,78,R13,Y14,
69,P1_14,RLIN23RX,,,,,,,,,,,,,,,,,,,,78,,,78,R13,,,,
